id,full_name,html_url,size,language,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count
22790488,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,32896,Java,2014-08-09T16:45:18Z,2024-04-29T20:27:33Z,2024-04-29T22:57:47Z,86488,25895,196
6296790,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,172284,Java,2012-10-19T15:02:57Z,2024-04-30T00:42:58Z,2024-04-29T22:22:56Z,72835,40047,607
1148753,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,207889,Java,2010-12-08T04:04:45Z,2024-04-30T00:23:57Z,2024-04-29T16:15:22Z,55156,37556,291
20300177,google/guava,https://github.com/google/guava,462390,Java,2014-05-29T16:23:17Z,2024-04-30T02:07:40Z,2024-04-29T23:59:11Z,49419,10783,735
173228436,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,344743,Java,2019-03-01T03:27:48Z,2024-04-30T01:31:20Z,2024-04-29T20:32:52Z,47742,5542,1541
4710920,apache/dubbo,https://github.com/apache/dubbo,54702,Java,2012-06-19T07:56:02Z,2024-04-30T00:23:50Z,2024-04-29T14:38:38Z,40045,26263,844
8859474,skylot/jadx,https://github.com/skylot/jadx,22172,Java,2013-03-18T17:08:21Z,2024-04-30T00:06:34Z,2024-04-26T20:54:54Z,39197,4647,376
44662669,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,178965,Java,2015-10-21T08:26:28Z,2024-04-29T18:57:50Z,2024-04-29T19:49:49Z,37464,3239,2076
19148949,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,21720,Java,2014-04-25T14:29:47Z,2024-04-29T07:33:09Z,2024-02-28T06:26:20Z,37259,8982,2168
9754983,eugenp/tutorials,https://github.com/eugenp/tutorials,80984,Java,2013-04-29T18:26:36Z,2024-04-29T17:10:02Z,2024-04-29T20:32:38Z,35988,54277,65
146633589,alibaba/arthas,https://github.com/alibaba/arthas,48671,Java,2018-08-29T17:15:57Z,2024-04-29T22:13:41Z,2024-04-25T11:25:40Z,34699,7342,364
11267509,bumptech/glide,https://github.com/bumptech/glide,96798,Java,2013-07-08T22:52:33Z,2024-04-30T00:18:21Z,2024-04-30T00:25:54Z,34367,6095,510
1064563,netty/netty,https://github.com/netty/netty,88846,Java,2010-11-09T09:22:21Z,2024-04-29T16:51:07Z,2024-04-29T21:42:37Z,32796,15721,592
120395176,alibaba/easyexcel,https://github.com/alibaba/easyexcel,26407,Java,2018-02-06T03:14:08Z,2024-04-29T20:03:53Z,2024-04-22T10:20:10Z,30960,7392,549
44804216,termux/termux-app,https://github.com/termux/termux-app,4484,Java,2015-10-23T09:42:46Z,2024-04-29T19:28:41Z,2024-04-27T18:12:49Z,30926,3281,359
137451403,alibaba/nacos,https://github.com/alibaba/nacos,56533,Java,2018-06-15T06:49:27Z,2024-04-30T01:45:58Z,2024-04-29T12:42:00Z,29066,12538,232
53127403,apolloconfig/apollo,https://github.com/apolloconfig/apollo,53715,Java,2016-03-04T10:24:23Z,2024-04-29T17:34:03Z,2024-04-27T13:54:39Z,28794,10168,134
7587038,alibaba/canal,https://github.com/alibaba/canal,22989,Java,2013-01-13T10:59:52Z,2024-04-29T17:21:09Z,2024-04-28T01:54:53Z,27771,7515,1063
2700159,alibaba/druid,https://github.com/alibaba/druid,84117,Java,2011-11-03T05:12:51Z,2024-04-30T02:25:28Z,2024-04-29T17:13:15Z,27645,8524,2167
2211243,apache/kafka,https://github.com/apache/kafka,184000,Java,2011-08-15T18:06:16Z,2024-04-30T02:26:41Z,2024-04-30T02:26:36Z,27369,13488,1080
2700474,alibaba/fastjson,https://github.com/alibaba/fastjson,15513,Java,2011-11-03T06:58:52Z,2024-04-28T07:42:53Z,2024-03-26T12:01:55Z,25638,6513,2097
163387337,apache/incubator-seata,https://github.com/apache/incubator-seata,23856,Java,2018-12-28T08:37:22Z,2024-04-29T16:08:47Z,2024-04-29T15:32:46Z,24946,8677,780
6766558,Netflix/Hystrix,https://github.com/Netflix/Hystrix,9799,Java,2012-11-19T20:14:46Z,2024-04-29T20:32:35Z,2023-10-17T13:04:47Z,23883,4695,401
20587599,apache/flink,https://github.com/apache/flink,489920,Java,2014-06-07T07:00:10Z,2024-04-29T14:08:33Z,2024-04-29T23:40:50Z,23175,12962,1192
15823460,redisson/redisson,https://github.com/redisson/redisson,26869,Java,2014-01-11T14:06:25Z,2024-04-29T23:42:38Z,2024-04-29T11:28:48Z,22748,5264,399
1103607,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,157735,Java,2010-11-22T21:21:23Z,2024-04-30T02:19:51Z,2024-04-30T02:19:47Z,22409,8519,74
20773773,bazelbuild/bazel,https://github.com/bazelbuild/bazel,932127,Java,2014-06-12T16:00:38Z,2024-04-29T18:45:05Z,2024-04-29T20:42:35Z,22324,3889,2030
128018428,alibaba/Sentinel,https://github.com/alibaba/Sentinel,8218,Java,2018-04-04T06:37:33Z,2024-04-29T15:41:12Z,2024-04-29T17:01:23Z,21967,7894,817
20818126,google/ExoPlayer,https://github.com/google/ExoPlayer,483153,Java,2014-06-13T21:19:18Z,2024-04-30T01:29:45Z,2024-04-04T15:01:47Z,21481,5984,679
75164823,apache/rocketmq,https://github.com/apache/rocketmq,41089,Java,2016-11-30T08:00:08Z,2024-04-29T22:49:29Z,2024-04-29T06:41:44Z,20577,11443,409
144705602,didi/DoKit,https://github.com/didi/DoKit,58535,Java,2018-08-14T10:32:07Z,2024-04-29T07:23:50Z,2024-03-14T06:09:48Z,19958,3068,251
11125589,keycloak/keycloak,https://github.com/keycloak/keycloak,498116,Java,2013-07-02T13:38:51Z,2024-04-30T02:04:10Z,2024-04-30T01:21:13Z,19920,6269,1999
133134007,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,863010,Java,2018-05-12T09:57:56Z,2024-04-30T01:28:51Z,2024-04-29T20:35:54Z,19896,6120,4607
49876476,apache/shardingsphere,https://github.com/apache/shardingsphere,634918,Java,2016-01-18T12:49:26Z,2024-04-29T16:42:57Z,2024-04-29T16:42:52Z,19446,6603,989
8205602,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,146776,Java,2013-02-14T19:03:32Z,2024-04-29T18:07:55Z,2024-04-29T18:07:38Z,19421,12669,211
7010724,dianping/cat,https://github.com/dianping/cat,114113,Java,2012-12-05T02:31:48Z,2024-04-29T02:19:12Z,2024-04-23T12:54:41Z,18431,5376,185
7968417,google/dagger,https://github.com/google/dagger,106285,Java,2013-02-01T23:14:14Z,2024-04-29T16:56:09Z,2024-04-27T12:06:57Z,17315,1999,312
31533997,facebook/fresco,https://github.com/facebook/fresco,76118,Java,2015-03-02T09:58:04Z,2024-04-29T19:58:33Z,2024-04-26T01:07:57Z,17042,3739,241
4576305,openzipkin/zipkin,https://github.com/openzipkin/zipkin,75592,Java,2012-06-06T18:26:16Z,2024-04-29T05:57:28Z,2024-04-20T17:34:18Z,16737,3068,172
501687,antlr/antlr4,https://github.com/antlr/antlr4,69963,Java,2010-02-04T01:36:28Z,2024-04-29T23:04:15Z,2024-04-22T17:29:53Z,16391,3212,930
75643096,material-components/material-components-android,https://github.com/material-components/material-components-android,148973,Java,2016-12-05T16:11:29Z,2024-04-29T19:04:37Z,2024-04-29T19:04:29Z,15973,3023,624
65987043,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,23345,Java,2016-08-18T10:06:53Z,2024-04-30T00:43:53Z,2024-04-29T14:56:22Z,15801,4206,73
75277003,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,245064,Java,2016-12-01T09:33:30Z,2024-04-29T17:17:33Z,2024-04-29T20:58:22Z,15657,4815,1664
5349565,prestodb/presto,https://github.com/prestodb/presto,212583,Java,2012-08-09T01:03:37Z,2024-04-29T19:32:09Z,2024-04-30T02:32:29Z,15601,5253,2067
23112526,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,5191,Java,2014-08-19T14:09:26Z,2024-04-27T09:46:25Z,2023-04-28T06:54:52Z,15455,3323,142
6207167,mockito/mockito,https://github.com/mockito/mockito,48915,Java,2012-10-13T20:27:12Z,2024-04-29T07:47:14Z,2024-04-27T15:19:22Z,14591,2516,405
76413186,alibaba/ARouter,https://github.com/alibaba/ARouter,26589,Java,2016-12-14T01:27:49Z,2024-04-28T06:08:40Z,2023-09-11T06:07:41Z,14382,2585,126
88970564,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,21951,Java,2017-04-21T10:03:18Z,2024-04-29T18:10:56Z,2024-02-26T06:50:33Z,14334,2663,423
1911523,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,115830,Java,2011-06-17T14:54:55Z,2024-04-29T19:34:37Z,2024-04-29T19:56:20Z,14075,2042,309
1090311,elastic/logstash,https://github.com/elastic/logstash,127047,Java,2010-11-18T01:31:50Z,2024-04-29T14:13:20Z,2024-04-29T20:06:20Z,14011,3468,2152
